0	1.74287e-07
1	5.12308e-07
2	6.82077e-07
3	5.62672e-07
4	7.52247e-07
5	8.30754e-07
6	7.56995e-07
7	1.07011e-06
8	8.58781e-07
9	8.83909e-07
10	9.67505e-07
11	9.22646e-07
12	9.07266e-07
13	9.29605e-07
14	9.35438e-07
15	1.13976e-06
16	9.93923e-07
17	1.00911e-06
18	1.00642e-06
19	1.04117e-06
20	1.02375e-06
21	1.02974e-06
22	1.04126e-06
23	1.25566e-06
24	1.05204e-06
25	1.0776e-06
26	1.07191e-06
27	1.06683e-06
28	1.06983e-06
29	1.08529e-06
30	1.10984e-06
31	1.2943e-06
32	1.11763e-06
33	1.10994e-06
34	1.12718e-06
35	1.14712e-06
36	1.13604e-06
37	1.13812e-06
38	1.13739e-06
39	1.36072e-06
40	1.20974e-06
41	1.18934e-06
42	1.17822e-06
43	1.17878e-06
44	1.25518e-06
45	1.18345e-06
46	1.22629e-06
47	1.33757e-06
48	1.20346e-06
49	1.24023e-06
